SUN JAN 20 2013	PITTSBURGH	NY RANGERS
SUN JAN 20 2013	DALLAS	MINNESOTA
SUN JAN 20 2013	EDMONTON	VANCOUVER
SUN JAN 20 2013	CHICAGO	PHOENIX
MON JAN 21 2013	WINNIPEG	BOSTON
MON JAN 21 2013	TAMPA BAY	NY ISLANDERS
MON JAN 21 2013	ST. LOUIS	NASHVILLE
MON JAN 21 2013	BUFFALO	TORONTO
MON JAN 21 2013	FLORIDA	OTTAWA
MON JAN 21 2013	DETROIT	COLUMBUS
MON JAN 21 2013	ANAHEIM	CALGARY
TUE JAN 22 2013	WINNIPEG	WASHINGTON
TUE JAN 22 2013	TAMPA BAY	CAROLINA
TUE JAN 22 2013	FLORIDA	MONTRÉAL
TUE JAN 22 2013	PHILADELPHIA	NEW JERSEY
TUE JAN 22 2013	DALLAS	DETROIT
TUE JAN 22 2013	NASHVILLE	MINNESOTA
TUE JAN 22 2013	ST. LOUIS	CHICAGO
TUE JAN 22 2013	LOS ANGELES	COLORADO
TUE JAN 22 2013	SAN JOSE	EDMONTON
WED JAN 23 2013	TORONTO	PITTSBURGH
WED JAN 23 2013	BOSTON	NY RANGERS
WED JAN 23 2013	CALGARY	VANCOUVER
WED JAN 23 2013	COLUMBUS	PHOENIX
THU JAN 24 2013	NY ISLANDERS	TORONTO
THU JAN 24 2013	NY RANGERS	PHILADELPHIA
THU JAN 24 2013	MONTRÉAL	WASHINGTON
THU JAN 24 2013	BUFFALO	CAROLINA
THU JAN 24 2013	OTTAWA	FLORIDA
THU JAN 24 2013	NASHVILLE	ST. LOUIS
THU JAN 24 2013	CHICAGO	DALLAS
THU JAN 24 2013	COLUMBUS	COLORADO
THU JAN 24 2013	LOS ANGELES	EDMONTON
THU JAN 24 2013	PHOENIX	SAN JOSE
FRI JAN 25 2013	NY ISLANDERS	BOSTON
FRI JAN 25 2013	CAROLINA	BUFFALO
FRI JAN 25 2013	WASHINGTON	NEW JERSEY
FRI JAN 25 2013	OTTAWA	TAMPA BAY
FRI JAN 25 2013	MINNESOTA	DETROIT
FRI JAN 25 2013	PITTSBURGH	WINNIPEG
FRI JAN 25 2013	VANCOUVER	ANAHEIM
SAT JAN 26 2013	COLORADO	SAN JOSE
SAT JAN 26 2013	TORONTO	NY RANGERS
SAT JAN 26 2013	CHICAGO	COLUMBUS
SAT JAN 26 2013	PHILADELPHIA	FLORIDA
SAT JAN 26 2013	ST. LOUIS	DALLAS
SAT JAN 26 2013	LOS ANGELES	PHOENIX
SAT JAN 26 2013	EDMONTON	CALGARY
SAT JAN 26 2013	NASHVILLE	ANAHEIM
SUN JAN 27 2013	BUFFALO	WASHINGTON
SUN JAN 27 2013	PITTSBURGH	OTTAWA
SUN JAN 27 2013	NEW JERSEY	MONTRÉAL
SUN JAN 27 2013	PHILADELPHIA	TAMPA BAY
SUN JAN 27 2013	DETROIT	CHICAGO
SUN JAN 27 2013	NY ISLANDERS	WINNIPEG
SUN JAN 27 2013	MINNESOTA	ST. LOUIS
SUN JAN 27 2013	VANCOUVER	SAN JOSE
MON JAN 28 2013	BOSTON	CAROLINA
MON JAN 28 2013	DALLAS	COLUMBUS
MON JAN 28 2013	NASHVILLE	PHOENIX
MON JAN 28 2013	COLORADO	EDMONTON
MON JAN 28 2013	VANCOUVER	LOS ANGELES
TUE JAN 29 2013	NEW JERSEY	BOSTON
TUE JAN 29 2013	TORONTO	BUFFALO
TUE JAN 29 2013	PHILADELPHIA	NY RANGERS
TUE JAN 29 2013	WINNIPEG	MONTRÉAL
TUE JAN 29 2013	WASHINGTON	OTTAWA
TUE JAN 29 2013	NY ISLANDERS	PITTSBURGH
